final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0741,1007.99,100.0,0.0,2015-03-18 22:00:00,0,1912,18,1894,0.09,5,-221.32,50,60,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.031,1007.99,100.0,0.0,2015-06-29 20:00:00,1,2598,40,2557,0.07,5,-134.82,50,60,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0533,1007.99,100.0,0.0,2015-03-26 19:00:00,3,2003,18,1982,0.1,7,-221.32,50,60,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0334,1111.15,100.0,0.0,2015-03-18 20:00:00,1,1722,10,1711,0.12,8,-343.97,50,60,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.013,1052.21,100.0,0.0,2015-06-29 09:00:00,1,2665,49,2615,0.06,3,-128.08,100,15,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0159,1007.99,100.0,0.0,2016-03-04 19:00:00,3,2281,24,2254,0.06,3,-163.02,100,15,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0259,1008.84,100.0,0.0,2015-05-12 11:00:00,2,3180,58,3120,0.1,5,-136.37,100,15,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.032,1008.84,100.0,0.0,2015-03-19 09:00:00,1,2553,27,2525,0.1,5,-188.06,100,15,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0502,1008.84,100.0,0.0,2015-01-27 17:00:00,2,1677,12,1663,0.1,5,-258.89,100,15,5,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0436,1025.78,100.0,0.0,2015-02-04 23:00:00,1,2823,53,2769,0.14,8,-116.99,100,15,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0686,1025.78,100.0,0.0,2014-10-13 03:00:00,3,2215,24,2188,0.15,8,-245.31,100,15,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0273,1173.8,100.0,0.0,2015-03-18 22:00:00,0,2387,16,2371,0.16,8,-379.57,100,15,8,250,10,0.01,EURUSD,False
